ACIW
ACVA
ADI
ADP
ADSK
ADV
AFRM
ALGM
ALKT
ALRM
ALTR
AMBA
AMD
AMKR
ANGI
ANSS
APP
APPF
APPN
ATVI
AVT
AZPN
BAND
BIGC
BL
BLKB
BMBL
BRKS
BSY
CARG
CCMP
CDK
CDLX
CDNS
CERN
CNXC
COMM
COUP
CREE
CRNC
CRSR
CRUS
CRWD
CSOD
CTSH
CTXS
CVLT
DBX
DCT
DDOG
DIOD
DOCU
DOMO
EA
EEFT
EVBG
EXLS
FEYE
FFIV
FISV
FIVN
FORM
FROG
FSLR
GDRX
INOV
INTU
IPGP
JAMF
JCOM
JKHY
KNBE
LAZR
LFUS
LITE
LOGI
LPSN
LRCX
LSCC
LYFT
LZ
MANH
MCFE
MCHP
MDB
MDRX
MGNI
MKTW
MNTV
MORN
MPWR
MSTR
MTSI
MU
MXIM
NATI
NCNO
NLOK
NSIT
NTAP
NTCT
NTNX
NUAN
OKTA
OLED
ON
ONEM
PCTY
PEGA
PFPT
PLXS
POWI
PRFT
PRGS
PTC
QCOM
QLYS
RCII
RIOT
RMBS
RPAY
RPD
RXT
SABR
SANM
SATS
SDGR
SHLS
SITM
SLAB
SMTC
SNPS
SPLK
SPSC
SPT
SPWR
SSNC
SUMO
SWKS
SYKE
SYNA
TENB
TTD
TTEC
TTWO
TXN
UCTT
UPWK
VERX
VIAV
VMEO
VRNS
VRNT
VRSK
VRSN
VSAT
WDAY
WDC
WSC
XLNX
XM
XPER
ZBRA
ZI
ZNGA
ZS
